,disp,lat,lon,net,sta,disp_pc
2020-04-23 12:00:00,1.72195402249e-10,58.4935,-3.9087,GB,BIGH,37.8811542013
2020-04-24 12:00:00,1.02168430279e-10,58.4935,-3.9087,GB,BIGH,63.1431218076
2020-04-25 12:00:00,6.10591182625e-11,58.4935,-3.9087,GB,BIGH,77.9731519981
2020-04-26 12:00:00,5.6608743367e-11,58.4935,-3.9087,GB,BIGH,79.5786080572
2020-04-27 12:00:00,2.61980738405e-10,58.4935,-3.9087,GB,BIGH,5.49143078939
2020-01-01 12:00:00,6.03502069816e-11,50.186699,-5.227299,GB,CCA1,58.6958965867
2020-01-02 12:00:00,9.9600142043e-11,50.186699,-5.227299,GB,CCA1,31.8329667341
2020-01-03 12:00:00,1.25300796006e-10,50.186699,-5.227299,GB,CCA1,14.243259554
2020-01-04 12:00:00,7.39168625341e-11,50.186699,-5.227299,GB,CCA1,49.4107827165
2020-01-05 12:00:00,6.63225285503e-11,50.186699,-5.227299,GB,CCA1,54.6083979678
2020-01-06 12:00:00,1.25174825154e-10,50.186699,-5.227299,GB,CCA1,14.3294748851
2020-01-07 12:00:00,1.22400141349e-10,50.186699,-5.227299,GB,CCA1,16.2284878718
2020-01-08 12:00:00,1.4752287701e-10,50.186699,-5.227299,GB,CCA1,-0.965687983879
2020-01-09 12:00:00,1.36090699155e-10,50.186699,-5.227299,GB,CCA1,6.8585744336
2020-01-10 12:00:00,1.30121558206e-10,50.186699,-5.227299,GB,CCA1,10.9438962143
2020-01-11 12:00:00,1.28924468298e-10,50.186699,-5.227299,GB,CCA1,11.7631929131
2020-01-12 12:00:00,9.49400564349e-11,50.186699,-5.227299,GB,CCA1,35.0223618911
2020-01-13 12:00:00,1.80719367011e-10,50.186699,-5.227299,GB,CCA1,-23.6855977324
2020-01-14 12:00:00,2.25875476516e-10,50.186699,-5.227299,GB,CCA1,-54.5907546496
2020-01-15 12:00:00,1.30745193785e-10,50.186699,-5.227299,GB,CCA1,10.5170756658
2020-01-16 12:00:00,1.645920237e-10,50.186699,-5.227299,GB,CCA1,-12.6479312654
2020-01-17 12:00:00,1.23477032125e-10,50.186699,-5.227299,GB,CCA1,15.4914562992
2020-01-18 12:00:00,7.4929491939e-11,50.186699,-5.227299,GB,CCA1,48.7177320751
2020-01-19 12:00:00,7.06001741699e-11,50.186699,-5.227299,GB,CCA1,51.6807474115
2020-01-20 12:00:00,1.09046610578e-10,50.186699,-5.227299,GB,CCA1,25.3677376522
2020-01-21 12:00:00,1.21092400633e-10,50.186699,-5.227299,GB,CCA1,17.1235147571
2020-01-22 12:00:00,1.06453193898e-10,50.186699,-5.227299,GB,CCA1,27.1426901521
2020-01-23 12:00:00,1.096582124e-10,50.186699,-5.227299,GB,CCA1,24.9491530916
2020-01-24 12:00:00,1.09427409616e-10,50.186699,-5.227299,GB,CCA1,25.1071161294
2020-01-25 12:00:00,8.83857111215e-11,50.186699,-5.227299,GB,CCA1,39.5082016283
2020-01-26 12:00:00,7.28963930809e-11,50.186699,-5.227299,GB,CCA1,50.1091991418
2020-01-27 12:00:00,1.19849198885e-10,50.186699,-5.227299,GB,CCA1,17.9743707219
2020-01-28 12:00:00,1.52579594168e-10,50.186699,-5.227299,GB,CCA1,-4.42654054506
2020-01-29 12:00:00,1.26923958992e-10,50.186699,-5.227299,GB,CCA1,13.1323554624
2020-01-30 12:00:00,1.13915381457e-10,50.186699,-5.227299,GB,CCA1,22.0355168373
2020-01-31 12:00:00,1.18075428483e-10,50.186699,-5.227299,GB,CCA1,19.1883515808
2020-02-01 12:00:00,1.28944139793e-10,50.186699,-5.227299,GB,CCA1,11.7497296048
2020-02-02 12:00:00,8.74526375984e-11,50.186699,-5.227299,GB,CCA1,40.1468036683
2020-02-03 12:00:00,1.41092587048e-10,50.186699,-5.227299,GB,CCA1,3.43524740427
2020-02-04 12:00:00,1.38311869002e-10,50.186699,-5.227299,GB,CCA1,5.33839026803
2020-02-05 12:00:00,1.18749681404e-10,50.186699,-5.227299,GB,CCA1,18.7268881697
2020-02-06 12:00:00,1.2967259929e-10,50.186699,-5.227299,GB,CCA1,11.2511668337
2020-02-07 12:00:00,1.22508675384e-10,50.186699,-5.227299,GB,CCA1,16.15420642
2020-02-08 12:00:00,1.29739394122e-10,50.186699,-5.227299,GB,CCA1,11.2054519844
2020-02-09 12:00:00,2.79566679688e-10,50.186699,-5.227299,GB,CCA1,-91.3373893196
